iter	MultiClass
0	3.830599189
1	3.706935466
2	3.60257654
3	3.505218741
4	3.426967455
5	3.358405623
6	3.296728036
7	3.237506956
8	3.189488858
9	3.143368711
10	3.108700168
11	3.068091033
12	3.025389437
13	2.992873419
14	2.966317499
15	2.938983714
16	2.909393499
17	2.880776148
18	2.854275361
19	2.830361861
20	2.808910809
21	2.789455664
22	2.775286016
23	2.758188411
24	2.737095015
25	2.725542711
26	2.708117539
27	2.693226066
28	2.67449927
29	2.656918714
30	2.644751504
31	2.636775496
32	2.621305073
33	2.610956074
34	2.598318383
35	2.585231034
36	2.573286743
37	2.566675288
38	2.552074504
39	2.538690772
40	2.525140715
41	2.513678749
42	2.503244163
43	2.494993616
44	2.483688737
45	2.47296567
46	2.463495619
47	2.459254846
48	2.448465247
49	2.440714134
50	2.430674313
51	2.424275721
52	2.415752016
53	2.405334371
54	2.398550408
55	2.390296909
56	2.382039948
57	2.374024979
58	2.36532019
59	2.355891082
60	2.349584653
61	2.342845757
62	2.334757061
63	2.327727784
64	2.318555017
65	2.310576639
66	2.304632436
67	2.298624869
68	2.293663594
69	2.28459936
70	2.277786514
71	2.270216394
72	2.265694605
73	2.261424682
74	2.257611152
75	2.25090108
76	2.244668778
77	2.23911483
78	2.232710703
79	2.226670071
80	2.222129414
81	2.215999918
82	2.21147309
83	2.207242867
84	2.199895302
85	2.19522239
86	2.191488863
87	2.186348038
88	2.182229575
89	2.176669869
90	2.170873467
91	2.163928553
92	2.159106888
93	2.153227282
94	2.148365446
95	2.142814145
96	2.137236125
97	2.131816635
98	2.127699184
99	2.121526571
100	2.117545994
101	2.112601712
102	2.108246831
103	2.102810038
104	2.098849359
105	2.093724555
106	2.089880059
107	2.085693136
108	2.081804372
109	2.077495352
110	2.072834834
111	2.069120726
112	2.065229817
113	2.060953833
114	2.056722375
115	2.05175879
116	2.047279732
117	2.044710362
118	2.039782758
119	2.036366325
120	2.032162772
121	2.028518663
122	2.024317083
123	2.020233901
124	2.01604211
125	2.012385276
126	2.008611269
127	2.004243656
128	2.001280127
129	1.998289993
130	1.993476393
131	1.988572196
132	1.984042768
133	1.980953004
134	1.977434233
135	1.97459119
136	1.971032993
137	1.967663818
138	1.963722031
139	1.95973871
140	1.956832149
141	1.953600101
142	1.949780428
143	1.945477128
144	1.943429976
145	1.940618152
146	1.937288215
147	1.934248925
148	1.930179222
149	1.926213557
150	1.922569943
151	1.918742259
152	1.914750846
153	1.912587765
154	1.908537849
155	1.90513419
156	1.901904672
157	1.898626555
158	1.894802888
159	1.891482188
160	1.889023899
161	1.885080614
162	1.881563541
163	1.878123125
164	1.875623209
165	1.871469567
166	1.868563931
167	1.864080657
168	1.860929264
169	1.858476673
170	1.855113575
171	1.852789718
172	1.848827952
173	1.844728026
174	1.842539373
175	1.840580918
176	1.837833593
177	1.834631572
178	1.832046495
179	1.827675298
180	1.824936381
181	1.821887447
182	1.819479674
183	1.817521942
184	1.814100569
185	1.81169841
186	1.808695854
187	1.805585213
188	1.802842377
189	1.798659674
190	1.795915478
191	1.792575812
192	1.789892907
193	1.787620257
194	1.784257134
195	1.781607816
196	1.77843627
197	1.776619005
198	1.774120918
199	1.770460441
200	1.767515583
201	1.764943612
202	1.762042319
203	1.75875422
204	1.756333953
205	1.753417463
206	1.751104723
207	1.747651903
208	1.745490277
209	1.743572824
210	1.740795475
211	1.737539257
212	1.734826161
213	1.732124359
214	1.729302126
215	1.726964923
216	1.724057058
217	1.721558932
218	1.719089664
219	1.717234837
220	1.714568648
221	1.712800352
222	1.710037281
223	1.707039451
224	1.704350868
225	1.701796821
226	1.698478503
227	1.695861066
228	1.693762377
229	1.690688692
230	1.688211806
231	1.685201393
232	1.682616891
233	1.679998707
234	1.676962908
235	1.674890255
236	1.672567839
237	1.67047359
238	1.667270027
239	1.665120737
240	1.663425594
241	1.660804037
242	1.658781891
243	1.655874388
244	1.65376735
245	1.650904398
246	1.648780745
247	1.645524027
248	1.643424696
249	1.640725269
